,ligand,receptor,novel,species
34291,Wnt16,Fzd3_Lrp6,-,Mouse
34292,Wnt16,Fzd4_Lrp6,-,Mouse
34293,Wnt16,Fzd10_Lrp6,-,Mouse
34294,Wnt16,Fzd1_Lrp6,-,Mouse
34295,Il1f6,Il1rap_Il1rl2,-,Mouse
34296,Il19,Il20ra_Il20rb,-,Mouse
34297,Tac2,Tacr2,-,Mouse
34300,Gdf2,Acvr2a_Acvrl1,-,Mouse
34301,Gdf2,Acvr2b_Acvrl1,-,Mouse
34302,Gdf2,Acvrl1_Bmpr2,-,Mouse
34303,Gdf2,Acvr1,-,Mouse
34304,Angptl2,Itga5_Itgb1,-,Mouse
34305,Angptl2,Tlr4,-,Mouse
34306,Angptl2,Pirb,-,Mouse
34307,Angptl2,Tie1,-,Mouse
34308,Apln,Adra2a,-,Mouse
34309,Apln,Aplnr,-,Mouse
34310,Apln,Mtnr1a,-,Mouse
34311,Apln,Grm7,-,Mouse
34312,Clec11a,Itga10,-,Mouse
34313,Clec11a,Itgb1,-,Mouse
34314,Clec11a,Itga11,-,Mouse
34315,Angpt4,Tie1,-,Mouse
34316,Angpt4,Tek,-,Mouse
34317,Angptl3,Itgav_Itgb3,-,Mouse
34318,Angptl3,Itga5,-,Mouse
34319,Insl5,Adra2a,-,Mouse
34320,Insl5,Mtnr1a,-,Mouse
34321,Insl5,Grm7,-,Mouse
34322,Insl5,Rxfp4,-,Mouse
34323,Insl5,Rxfp2,-,Mouse
34324,Insl5,Rxfp1,-,Mouse
34325,Insl5,Rxfp3,-,Mouse
34326,Wif1,Ryk,-,Mouse
34327,Wnt6,Fzd9_Lrp5,-,Mouse
34328,Wnt6,Fzd9_Lrp6,-,Mouse
34329,Wnt6,Fzd6_Lrp5,-,Mouse
34330,Wnt6,Fzd6_Lrp6,-,Mouse
34331,Wnt6,Fzd7_Lrp5,-,Mouse
34332,Wnt6,Fzd7_Lrp6,-,Mouse
34333,Wnt6,Fzd5_Lrp5,-,Mouse
34334,Wnt6,Fzd2_Lrp5,-,Mouse
34335,Wnt6,Fzd8_Lrp5,-,Mouse
34336,Wnt6,Fzd3_Lrp5,-,Mouse
34337,Wnt6,Fzd4_Lrp5,-,Mouse
34338,Wnt6,Fzd10_Lrp5,-,Mouse
34339,Wnt6,Fzd1_Lrp5,-,Mouse
34340,Wnt6,Fzd5_Lrp6,-,Mouse
34341,Wnt6,Fzd2_Lrp6,-,Mouse
34342,Wnt6,Fzd8_Lrp6,-,Mouse
34343,Wnt6,Fzd3_Lrp6,-,Mouse
34344,Wnt6,Fzd4_Lrp6,-,Mouse
34345,Wnt6,Fzd10_Lrp6,-,Mouse
34346,Wnt6,Fzd1_Lrp6,-,Mouse
34347,Cd70,Cd27,-,Mouse
34348,Efna2,Epha2,-,Mouse
34349,Efna3,Epha3,-,Mouse
34350,Efna2,Epha7,-,Mouse
34351,Efna3,Epha7,-,Mouse
34352,Efna2,Epha8,-,Mouse
34353,Efna3,Epha8,-,Mouse
34354,Efna2,Epha5,-,Mouse
34355,Efna3,Epha5,-,Mouse
34356,Efna3,Epha4,-,Mouse
34357,Efna2,Epha4,-,Mouse
34358,Efna3,Epha2,-,Mouse
34359,Ccl11,Ackr2,-,Mouse
34360,Ccl2,Ackr2,-,Mouse
34361,Ccl12,Ackr2,-,Mouse
34362,Ccl4,Ackr2,-,Mouse
34363,Ccl5,Ackr2,-,Mouse
34364,Efna2,Epha3,-,Mouse
34365,Efna2,Epha1,-,Mouse
34366,Ccl22,Dpp4,-,Mouse
34367,Wnt5a,Fzd1,-,Mouse
34368,Ccl11,Dpp4,-,Mouse
34369,Cxcl10,Dpp4,-,Mouse
34370,Efna3,Epha1,-,Mouse
34371,Cxcl1,Dpp4,-,Mouse
34372,Cxcl12,Dpp4,-,Mouse
34373,Cxcl16,Cxcr6,-,Mouse
34374,C3,C3ar1,-,Mouse
34375,Tnfsf8,Tnfrsf8,-,Mouse
34376,Tnfsf4,Tnfrsf4,-,Mouse
34377,Plau,Plaur,-,Mouse
34378,C3,Cr2,-,Mouse
34379,Ccl17,Ackr2,-,Mouse
34380,Ccl22,Ackr2,-,Mouse
34381,Ccl24,Ackr2,-,Mouse
34382,Cd72,Cd5,-,Mouse
34383,Cntf,Il6st_Lifr,-,Mouse
34384,Cntf,Cntfr_Il6st,-,Mouse
34385,Il16,Cd9,-,Mouse
34386,Lgals1,Cd69,-,Mouse
34387,Sema4d,Cd72,-,Mouse
34388,Txlna,Stx3,-,Mouse
34389,Txlna,Stx4a,-,Mouse
34390,Txlna,Stx1a,-,Mouse
34391,Col8a1,Itga1_Itgb1,-,Mouse
34392,Col7a1,Itga1_Itgb1,-,Mouse
34393,Col5a3,Itga1_Itgb1,-,Mouse
34394,Col5a2,Itga1_Itgb1,-,Mouse
34395,Col5a1,Itga1_Itgb1,-,Mouse
34396,Col3a1,Itga1_Itgb1,-,Mouse
34397,Col18a1,Itga1_Itgb1,-,Mouse
34398,Col14a1,Itga1_Itgb1,-,Mouse
34399,Col11a1,Itga1_Itgb1,-,Mouse
34400,Col11a1,Itga2_Itgb1,-,Mouse
34401,Col14a1,Itga2_Itgb1,-,Mouse
34402,Col18a1,Itga2_Itgb1,-,Mouse
34403,Col3a1,Itga2_Itgb1,-,Mouse
34404,Col5a1,Itga2_Itgb1,-,Mouse
34405,Col5a2,Itga2_Itgb1,-,Mouse
34406,Col5a3,Itga2_Itgb1,-,Mouse
34407,Col7a1,Itga2_Itgb1,-,Mouse
34408,Col8a1,Itga2_Itgb1,-,Mouse
34409,Col11a1,Itga10_Itgb1,-,Mouse
34410,Col14a1,Itga10_Itgb1,-,Mouse
34411,Col18a1,Itga10_Itgb1,-,Mouse
34412,Col3a1,Itga10_Itgb1,-,Mouse
34413,Col5a1,Itga10_Itgb1,-,Mouse
34414,Col5a2,Itga10_Itgb1,-,Mouse
34415,Col5a3,Itga10_Itgb1,-,Mouse
34416,Col7a1,Itga10_Itgb1,-,Mouse
34417,Col8a1,Itga10_Itgb1,-,Mouse
34418,Col11a1,Itga11_Itgb1,-,Mouse
34419,Col14a1,Itga11_Itgb1,-,Mouse
34420,Col18a1,Itga11_Itgb1,-,Mouse
34421,Col3a1,Itga11_Itgb1,-,Mouse
34422,Col5a1,Itga11_Itgb1,-,Mouse
34423,Col5a2,Itga11_Itgb1,-,Mouse
34424,Col5a3,Itga11_Itgb1,-,Mouse
34425,Col7a1,Itga11_Itgb1,-,Mouse
34426,Col8a1,Itga11_Itgb1,-,Mouse
34427,Clec4g,Lag3,-,Mouse
34428,Gnai2,Mtnr1a,-,Mouse
34430,Shh,Hhip,-,Mouse
34431,Shh,Gas1,-,Mouse
34432,Psen1,Ncstn,-,Mouse
34433,Efna2,Epha6,-,Mouse
34434,Efna3,Epha6,-,Mouse
34435,Dhh,Hhip,-,Mouse
34436,Ihh,Hhip,-,Mouse
34437,Gnai2,Ccr5,-,Mouse
34438,Adm,Calcr,-,Mouse
34439,Adm2,Calcr,-,Mouse
34440,Iapp,Calcr,-,Mouse
34441,Calca,Calcr,-,Mouse
34442,Pros1,Axl,-,Mouse
34443,Hc,C5ar1,-,Mouse
34444,Rps19,C5ar1,-,Mouse
34445,Hc,C5ar2,-,Mouse
34446,Pomc,Oprd1,-,Mouse
34447,Pdyn,Oprd1,-,Mouse
34448,Penk,Oprd1,-,Mouse
34449,Camp,Fpr2,-,Mouse
34450,Psap,Gpr37,-,Mouse
34451,Psap,Gpr37l1,-,Mouse
34452,Tac1,Tacr1,-,Mouse
34453,Tac2,Tacr1,-,Mouse
34454,Tac1,Tacr3,-,Mouse
34455,Tac2,Tacr3,-,Mouse
34456,Arf1,Pld2,-,Mouse
34457,Pros1,Tyro3,-,Mouse
34458,Gnas,Adrb2,-,Mouse
34459,Fga,Itgb1,-,Mouse
34460,Rspo1,Znrf3,-,Mouse
34462,Fgf13,Scn5a,-,Mouse
34463,Fgf13,Scn8a,-,Mouse
34465,Rspo3,Sdc4,-,Mouse
34466,Rtn4,Lingo1,-,Mouse
34467,Cntn6,Notch1,-,Mouse
34469,Gnas,Gcgr,-,Mouse
34470,Gnai2,Adcy1,-,Mouse
34471,Fga,Itgax,-,Mouse
34472,Gpi1,Amfr,-,Mouse
34473,Cd38,Pecam1,-,Mouse
34474,Serpinc1,Lrp1,-,Mouse
34475,Gnas,Tshr,-,Mouse
34476,Mfng,Notch1,-,Mouse
34477,Mfng,Notch2,-,Mouse
34478,Adam12,Sdc4,-,Mouse
34479,F2,F2rl2,-,Mouse
34480,F2,F2r,-,Mouse
34481,F2,F2rl1,-,Mouse
34482,F2,F2rl3,-,Mouse
34483,Ren1,Atp6ap2,-,Mouse
34484,Apoe,Sorl1,-,Mouse
34485,Tfpi,Vldlr,-,Mouse
34486,Edn3,Kel,-,Mouse
34487,Omg,Lingo1,-,Mouse
34488,Gnas,Avpr2,-,Mouse
34489,a,Atrn,-,Mouse
34490,a,Mc1r,-,Mouse
34491,Psen1,Notch1,-,Mouse
34493,Gnas,Ptgdr,-,Mouse
34494,Hras,Insr,-,Mouse
34495,Hras,Cav1,-,Mouse
34496,Arf1,Insr,-,Mouse
34497,Grn,Sort1,-,Mouse
34498,F9,Lrp1,-,Mouse
34499,Timp1,Cd63,-,Mouse
34500,Sfrp1,Fzd2,-,Mouse
34501,Sfrp1,Fzd6,-,Mouse
34502,Plat,Lrp1,-,Mouse
34503,Tgfb1,Eng,-,Mouse
34504,Hgf,St14,-,Mouse
34505,Serpine1,Lrp2,-,Mouse
34506,Serpine1,Lrp1,-,Mouse
34507,Efnb3,Rhbdl2,-,Mouse
34508,Hbegf,Cd9,-,Mouse
34509,Ltf,Lrp1,-,Mouse
34510,Tfpi,Lrp1,-,Mouse
34511,Proc,Thbd,-,Mouse
34512,Tgfb3,Eng,-,Mouse
34513,Inhba,Eng,-,Mouse
34514,Efnb2,Rhbdl2,-,Mouse
34515,C3,Itgam,-,Mouse
34516,C3,Cd19,-,Mouse
34517,C3,Cd46,-,Mouse
34518,C3,C5ar2,-,Mouse
34519,C3,Itgax,-,Mouse
34520,Vasp,Cxcr2,-,Mouse
34521,Slurp1,Chrna7,-,Mouse
34522,Omg,Rtn4rl1,-,Mouse
34523,Aanat,Mtnr1b,-,Mouse
34524,Aanat,Mtnr1a,-,Mouse
34525,Crp,Olr1,-,Mouse
34526,Nts,Sort1,-,Mouse
34527,Ccl21b,Ackr2,-,Mouse
34528,Mmp7,Cd44,-,Mouse
34529,Mmp7,Cd151,-,Mouse
34530,Mmp7,Erbb4,-,Mouse
34531,Thbs1,Sdc4,-,Mouse
34532,Timp2,Itgb1,-,Mouse
34533,Fgf2,Sdc4,-,Mouse
34534,F13a1,Itga4,-,Mouse
34535,F13a1,Itgb1,-,Mouse
34536,Timp3,Agtr2,-,Mouse
34537,Igfbp4,Fzd8,-,Mouse
34538,Rspo2,Znrf3,-,Mouse
34539,Scgb3a1,Marco,-,Mouse
34540,Shank1,Sstr2,-,Mouse
34541,Bmp10,Eng,-,Mouse
34544,Scgb3a2,Marco,-,Mouse
34545,Col14a1,Cd44,-,Mouse
34546,Il16,Kcnj15,-,Mouse
34547,Il16,Kcnj10,-,Mouse
34548,Col3a1,Ddr2,-,Mouse
34549,Col3a1,Mag,-,Mouse
34550,Col3a1,Ddr1,-,Mouse
34551,Cxcl10,Sdc4,-,Mouse
34552,Fgb,Itgam,-,Mouse
34553,Fgb,Itgb1,-,Mouse
34554,Fgb,Tlr4,-,Mouse
34555,Fga,Itgam,-,Mouse
34556,Fga,Itgb3,-,Mouse
34557,Fga,Tlr4,-,Mouse
34558,Has2,Hmmr,-,Mouse
34559,Has2,Cd44,-,Mouse
34560,Rgmb,Neo1,-,Mouse
34561,F2,Thbd,-,Mouse
34562,Gm2023,Ackr2,-,Mouse
34563,Lpl,Sdc1,-,Mouse
34564,Lpl,Vldlr,-,Mouse
34565,Gnai2,Lpar3,-,Mouse
34566,Gnai2,Ednra,-,Mouse
34567,Gnai2,Adora1,-,Mouse
34568,Gnai2,C5ar1,-,Mouse
34569,Gnai2,Adra2b,-,Mouse
34570,Gnai2,F2r,-,Mouse
34571,Gnai2,Fpr1,-,Mouse
34572,Gnai2,Oprm1,-,Mouse
34573,Gnai2,Cav1,-,Mouse
34574,Gnai2,Tbxa2r,-,Mouse
34575,Gnai2,Cxcr2,-,Mouse
34576,Gnai2,Tshr,-,Mouse
34577,Gnai2,Agtr2,-,Mouse
34578,Gnai2,Cnr1,-,Mouse
34579,Fbn1,Itgb3,-,Mouse
34580,Fbn1,Itgb1,-,Mouse
34581,Psen1,Notch4,-,Mouse
34582,Bgn,Tlr4,-,Mouse
34583,Cthrc1,Fzd5,-,Mouse
34584,Cthrc1,Fzd6,-,Mouse
34585,Cthrc1,Fzd3,-,Mouse
34586,Fgg,Itgb1,-,Mouse
34587,Fgg,Tlr4,-,Mouse
34588,Rtn4,Tnfrsf19,-,Mouse
34589,Col9a3,Mag,-,Mouse
34590,Slpi,Plscr4,-,Mouse
34591,Fn1,Mag,-,Mouse
34592,Col18a1,Gpc4,-,Mouse
34593,Col9a1,Mag,-,Mouse
34594,Gip,Dpp4,-,Mouse
34595,F8,Ldlr,-,Mouse
34596,Ccl28,Ackr2,-,Mouse
34597,Tgm2,Itgb1,-,Mouse
34598,Tgm2,Itgb3,-,Mouse
34599,Tgm2,Sdc4,-,Mouse
34600,Cntf,Il6ra,-,Mouse
34601,Tgfb2,Eng,-,Mouse
34602,Cfh,Itgam,-,Mouse
34603,Efna3,Ephb1,-,Mouse
34604,Ngf,Sorcs3,-,Mouse
34605,Col11a1,Ddr1,-,Mouse
34606,Gnas,Crhr1,-,Mouse
34608,Cel,Cxcr4,-,Mouse
34609,Mmp9,Cd44,-,Mouse
34610,Mmp9,Ephb2,-,Mouse
34611,Col9a2,Mag,-,Mouse
34612,Col5a2,Ddr1,-,Mouse
34613,Anxa1,Dysf,-,Mouse
34614,Agrn,Atp1a3,-,Mouse
34615,Col2a1,Mag,-,Mouse
34616,Ccl25,Ackr2,-,Mouse
34618,Hras,Agtr1a,-,Mouse
34619,Lrpap1,Ldlr,-,Mouse
34620,Hsp90aa1,Cftr,-,Mouse
34621,Timp2,Itga3,-,Mouse
34622,Rtn4,Rtn4r,-,Mouse
34623,Omg,Rtn4r,-,Mouse
34624,Ltb,Tnfrsf1a,-,Mouse
34625,Pyy,Fap,-,Mouse
34626,Npy,Fap,-,Mouse
34627,Proc,Procr,-,Mouse
34628,Plg,Plgrkt,-,Mouse
34629,Hbegf,Cd82,-,Mouse
34630,Gnai2,Oprd1,-,Mouse
34631,A2m,Lrp1,-,Mouse
34632,Serpine2,Lrp1,-,Mouse
34633,Mmp13,Lrp1,-,Mouse
34634,Mmp9,Lrp1,-,Mouse
34635,Plau,Lrp1,-,Mouse
34636,Lrpap1,Lrp1,-,Mouse
34637,C3,Lrp1,-,Mouse
34638,C1qb,Lrp1,-,Mouse
34639,F8,Lrp1,-,Mouse
34640,Lpl,Lrp1,-,Mouse
34641,Lipc,Lrp1,-,Mouse
34642,Psap,Lrp1,-,Mouse
34643,a,Mc3r,-,Mouse
34644,Mbl2,Cd93,-,Mouse
34645,C1qa,Cd93,-,Mouse
34647,Pdgfb,Art1,-,Mouse
34649,Arf1,Chrm3,-,Mouse
34650,Ngf,Sort1,-,Mouse
34651,Lrpap1,Sort1,-,Mouse
34652,Bdnf,Sort1,-,Mouse
34653,Psen1,Notch2,-,Mouse
34654,Gnai2,Mtnr1b,-,Mouse
34655,Fn1,Nt5e,-,Mouse
34656,Bgn,Tlr2,-,Mouse
34657,Lrpap1,Sorl1,-,Mouse
34659,Igfbp4,Lrp6,-,Mouse
34660,F2,Itga2b,-,Mouse
34661,Fgg,Itga2b,-,Mouse
34662,Fga,Itga2b,-,Mouse
34663,Fgb,Itga2b,-,Mouse
34664,Il16,Grin2d,-,Mouse
34665,Psen1,Notch3,-,Mouse
34666,Gpc3,Cd81,-,Mouse
34667,Serping1,Selp,-,Mouse
34668,Plau,Lrp2,-,Mouse
34669,Lrpap1,Lrp2,-,Mouse
34670,Alb,Lrp2,-,Mouse
34671,Lpl,Lrp2,-,Mouse
34672,Lcn2,Lrp2,-,Mouse
34673,Timp3,Kdr,-,Mouse
34674,Col18a1,Kdr,-,Mouse
34675,Col18a1,Gpc1,-,Mouse
34676,Rtn4,Cntnap1,-,Mouse
34677,F13a1,Itga9,-,Mouse
34678,Gpc3,Igf1r,-,Mouse
34679,Gnai2,Igf1r,-,Mouse
34680,Gnai2,Egfr,-,Mouse
34681,Hsp90aa1,Egfr,-,Mouse
34682,Spink3,Egfr,-,Mouse
34683,Lin7c,Htr2c,-,Mouse
34684,Plau,St14,-,Mouse
34685,Gnai2,Adra2a,-,Mouse
34686,Matn1,Itga1,-,Mouse
34688,Fgg,Itga5,-,Mouse
34689,Fga,Itga5,-,Mouse
34690,Fgb,Itga5,-,Mouse
34691,Fbn1,Itga5,-,Mouse
34692,Col18a1,Itga5,-,Mouse
34693,Gnai2,Lhcgr,-,Mouse
34694,Gnas,Lhcgr,-,Mouse
34695,Pros1,Mertk,-,Mouse
34696,Gnai2,Cxcr1,-,Mouse
34697,Ltbp1,Itgb5,-,Mouse
34698,Mmp1a,Itga2,-,Mouse
34700,a,Mc4r,-,Mouse
34701,Lrpap1,Lrp8,-,Mouse
34702,Ahsg,Insr,-,Mouse
34703,F2,Gp9,-,Mouse
34704,Gnai2,P2ry12,-,Mouse
34705,a,Mc5r,-,Mouse
34706,Gnas,Vipr1,-,Mouse
34707,Rtn4,Rtn4rl1,-,Mouse
34708,Ptgs2,Gpr44,-,Mouse
34709,a,Mc2r,-,Mouse
34710,F10,F3,-,Mouse
34711,F7,F3,-,Mouse
34712,Ptgs2,Cav1,-,Mouse
34713,Mmp12,Plaur,-,Mouse
34714,Col5a1,Sdc3,-,Mouse
34715,F8,Asgr2,-,Mouse
34716,Edn2,Kel,-,Mouse
34717,Edn1,Kel,-,Mouse
34718,Plau,Igf2r,-,Mouse
34719,Ltb,Cd40,-,Mouse
34720,Mdk,Sdc4,-,Mouse
34721,Ccl5,Sdc4,-,Mouse
34722,Bmp7,Eng,-,Mouse
34723,Gdf2,Eng,-,Mouse
34724,Bmp2,Eng,-,Mouse
34725,Colq,Musk,-,Mouse
34726,Pltp,Abca1,-,Mouse
34727,Mepe,Phex,-,Mouse
34728,Lrpap1,Vldlr,-,Mouse
34729,Vim,Cd44,-,Mouse
34730,Nampt,Insr,-,Mouse
34731,Bmp2,Rgmb,-,Mouse
34732,Bmp4,Cfc1,-,Mouse
34733,Bmp4,Rgmb,-,Mouse
34736,C3,Nrp1,-,Mouse
34737,Cadm3,Cadm1,-,Mouse
34738,Crtam,Cadm1,-,Mouse
34739,Cadm1,Crtam,-,Mouse
34740,L1cam,Cd9,-,Mouse
34742,Col18a1,Ptprs,-,Mouse
34743,Col5a3,Sdc3,-,Mouse
34744,Cthrc1,Ror2,-,Mouse
34745,Dnajb11,Prtg,-,Mouse
34746,Epo,Crlf3,-,Mouse
34747,Inhbb,Cfc1,-,Mouse
34748,Lgi1,Adam22,-,Mouse
34749,Lgi2,Adam22,-,Mouse
34750,Lgi3,Adam22,-,Mouse
34751,Lgi3,Flot1,-,Mouse
34752,Lgi3,Stx1a,-,Mouse
34753,Lgi4,Adam22,-,Mouse
34754,Ltf,Lrp11,-,Mouse
34756,Matn1,Itgb1,-,Mouse
34758,Myl9,Cd69,-,Mouse
34759,Myoc,Fzd1,-,Mouse
34760,Omg,Tnfrsf1b,-,Mouse
34761,Pdcd1lg2,Rgmb,-,Mouse
34762,Proc,Tek,-,Mouse
34763,Ptdss1,Jmjd6,-,Mouse
34764,Ptdss1,Scarb1,-,Mouse
34765,Rtn4,S1pr2,-,Mouse
34767,Serping1,Lrp1,-,Mouse
34768,Sertad1,Ar,-,Mouse
34769,Slpi,Plscr1,-,Mouse
34770,Zp3,Chrna7,-,Mouse
34771,S100a10,Trpv6,-,Mouse
34772,Fadd,Fas,-,Mouse
34773,Fadd,Tradd,-,Mouse
34774,Mfap5,Notch1,-,Mouse
34775,Mtmr4,Smad3,-,Mouse
34776,Gnas,Adcy1,-,Mouse
34777,Irak4,Tlr4,-,Mouse
34778,Megf10,Abca1,-,Mouse
34779,Tln1,Itgb3,-,Mouse
34780,Tln1,Itgb5,-,Mouse
34781,C1qb,C1qbp,-,Mouse
34782,Gnas,Adrb3,-,Mouse
34783,Apoa1,Abca1,-,Mouse
34784,Gnas,Htr6,-,Mouse
34785,Apob,Mttp,-,Mouse
34786,Sorbs1,Insr,-,Mouse
34787,Itgb3bp,Itgb5,-,Mouse
34788,Itgb3bp,Itgb3,-,Mouse
34789,Hebp1,Adra2a,-,Mouse
34790,Hebp1,Mtnr1a,-,Mouse
34791,Hebp1,Grm7,-,Mouse
34792,Vcl,Itgb5,-,Mouse
34793,Vcl,Alk,-,Mouse
34794,Efna2,Epha10,-,Mouse
34795,Tcn2,Lrp2,-,Mouse
34796,Tcn2,Cnr1,-,Mouse
34797,Timp1,Fgfr2,-,Mouse
34798,Mmp2,Pecam1,-,Mouse
34799,Mmp2,Ccr2,-,Mouse
34800,Mmp2,Fgfr1,-,Mouse
34801,Plat,Itgam,-,Mouse
34802,Tgfb1,Smad3,-,Mouse
34803,Tgfb1,Cav1,-,Mouse
34804,Nampt,Adora2a,-,Mouse
34805,Serpine1,Plaur,-,Mouse
34806,Serpine1,Itgb5,-,Mouse
34807,Hc,Adra2a,-,Mouse
34808,Hc,Mtnr1a,-,Mouse
34809,Hc,Grm7,-,Mouse
34810,Selplg,Esam,-,Mouse
34811,Fgf6,Sdc4,-,Mouse
34812,Gnb3,Tgfbr1,-,Mouse
34813,Gnb3,Gabbr2,-,Mouse
34814,Ltf,Tfrc,-,Mouse
34815,Tfpi,Sdc4,-,Mouse
34816,Tfpi,F3,-,Mouse
34817,Apob,Calcr,-,Mouse
34818,Proc,Itgam,-,Mouse
34819,Fgf23,Phex,-,Mouse
34820,Tnfsf10,Ripk1,-,Mouse
34821,Gstm7,Ryr2,-,Mouse
34822,Inhba,Smad3,-,Mouse
34824,Pspn,Gfra3,-,Mouse
34825,Cd70,Tnfrsf13b,-,Mouse
34826,C3,Mtnr1a,-,Mouse
34827,C3,Grm7,-,Mouse
34828,C3,Adra2a,-,Mouse
34829,C3,Cd81,-,Mouse
34830,Gdf1,Smad3,-,Mouse
34831,Tph1,Htr7,-,Mouse
34832,Tph1,Htr1a,-,Mouse
34833,Tph1,Htr1f,-,Mouse
34834,Tph1,Htr1d,-,Mouse
34835,Tph1,Htr2c,-,Mouse
34836,Tph1,Htr4,-,Mouse
34837,Tph1,Htr6,-,Mouse
34838,Tph1,Htr1b,-,Mouse
34839,Tph1,Htr2a,-,Mouse
34840,Tph1,Htr2b,-,Mouse
34841,Tph1,Htr5a,-,Mouse
34843,Apoe,Chrna4,-,Mouse
34844,Apoe,Abca1,-,Mouse
34845,Ncan,Cdh2,-,Mouse
34846,Ncan,Sdc3,-,Mouse
34847,Cfc1,Smad3,-,Mouse
34848,Cfc1,Acvr1b,-,Mouse
34850,Mmp7,Sdc1,-,Mouse
34851,Adam10,Gpnmb,-,Mouse
34852,Adam10,Tspan5,-,Mouse
34853,Adam10,Cadm1,-,Mouse
34854,Adam10,Tspan14,-,Mouse
34855,Rims2,Abca1,-,Mouse
34856,Timp2,Cd44,-,Mouse
34857,Farp2,Plxna3,-,Mouse
34858,Farp2,Plxna1,-,Mouse
34859,Farp2,Plxna2,-,Mouse
34860,Farp2,Plxna4,-,Mouse
34861,Lamc2,Cd151,-,Mouse
34862,Wnt5a,Vangl2,-,Mouse
34863,Icam1,Cav1,-,Mouse
34864,Bst1,Cav1,-,Mouse
34865,Tnc,Sdc4,-,Mouse
34866,Egf,Cav1,-,Mouse
34867,Egf,Rhbdl2,-,Mouse
34869,Adam2,Cd9,-,Mouse
34870,Timp3,Cd44,-,Mouse
34871,Timp3,Met,-,Mouse
34872,Hdc,Hrh1,-,Mouse
34873,Hdc,Hrh2,-,Mouse
34874,Hdc,Hrh3,-,Mouse
34875,Cgn,Tgfbr2,-,Mouse
34876,Cgn,Ocln,-,Mouse
34877,Cgn,Tgfbr1,-,Mouse
34878,Lin7c,Abca1,-,Mouse
34879,Lin7c,Kcnj4,-,Mouse
34880,Il18,Il18bp,-,Mouse
34881,Qdpr,Dysf,-,Mouse
34882,Pigf,Flt1,-,Mouse
34883,Adamts3,Ccbe1,-,Mouse
34884,Nodal,Smad3,-,Mouse
34885,Pip,Aqp5,-,Mouse
34886,Tff2,Muc6,-,Mouse
34888,S100b,Ager,-,Mouse
34889,S100a1,Trpm3,-,Mouse
34890,S100a1,Ryr2,-,Mouse
34891,S100a1,Ryr1,-,Mouse
34892,S100a1,Tlr4,-,Mouse
34893,S100a1,Ager,-,Mouse
34894,Cxcl16,Grm7,-,Mouse
34895,Cxcl16,Mtnr1a,-,Mouse
34896,Fgf11,Fgfr2,-,Mouse
34897,Fgf11,Fgfr1,-,Mouse
34898,Arpc5,Adrb2,-,Mouse
34899,Arpc5,Ldlr,-,Mouse
34900,Inhbb,Smad3,-,Mouse
34901,Tdgf1,Smad3,-,Mouse
34902,Camp,P2rx7,-,Mouse
34903,Spink3,Nrsn1,-,Mouse
34905,Shh,Scube2,-,Mouse
34908,Hsp90b1,Tlr9,-,Mouse
34909,Hsp90b1,Tlr7,-,Mouse
34910,Hsp90b1,Tlr4,-,Mouse
34911,Hsp90b1,Tlr1,-,Mouse
34912,Fadd,Abca1,-,Mouse
34913,Il16,Grin2b,-,Mouse
34914,Il16,Kcnj4,-,Mouse
34915,Il16,Grin2a,-,Mouse
34916,Hspa4,Tlr4,-,Mouse
34917,Fgb,Itgb3,-,Mouse
34918,Fga,Plaur,-,Mouse
34919,Fga,Cdh5,-,Mouse
34920,Fga,Itgad,-,Mouse
34922,Rgmb,Bmpr2,-,Mouse
34923,Rgmb,Bmpr1b,-,Mouse
34924,F2,Gp1bb,-,Mouse
34925,Lpl,Cd44,-,Mouse
34926,Efemp2,Aqp1,-,Mouse
34927,Efemp2,Plscr4,-,Mouse
34928,Gnai2,S1pr5,-,Mouse
34929,Gnai2,S1pr3,-,Mouse
34930,Gnai2,Unc5b,-,Mouse
34931,Gnai2,Ptpru,-,Mouse
34932,Gnai2,Cxcr3,-,Mouse
34933,Gnai2,Ednrb,-,Mouse
34934,Gnai2,Drd2,-,Mouse
34935,Gnai2,Adcy7,-,Mouse
34936,Pkm,Cd44,-,Mouse
34937,Mmp1a,Cd44,-,Mouse
34938,Wnt11,Klrg2,-,Mouse
34939,Psen1,Cd44,-,Mouse
34940,Bgn,Tlr1,-,Mouse
34941,Izumo1,Cd9,-,Mouse
34942,P4hb,Mttp,-,Mouse
34943,Hsp90aa1,Itgb3,-,Mouse
34944,Fgg,Itgb3,-,Mouse
34945,Rtn4,Gjb2,-,Mouse
34946,Dmp1,Phex,-,Mouse
34947,Wnt7b,Tmed5,-,Mouse
34948,Icam4,Rhag,-,Mouse
34949,Fn1,Dpp4,-,Mouse
34950,Col18a1,Itgb3,-,Mouse
34951,Sema4f,Nrp2,-,Mouse
34954,Pyy,Dpp4,-,Mouse
34955,Tgm2,Itga4,-,Mouse
34956,Tgm2,Tbxa2r,-,Mouse
34957,Ptgs2,Alox5,-,Mouse
34958,Efna3,Ephb6,-,Mouse
34959,Efna3,Epha10,-,Mouse
34960,Ngf,Trpv1,-,Mouse
34961,Ngf,Maged1,-,Mouse
34962,Cd40lg,Traf3,-,Mouse
34963,Gnas,Glp1r,-,Mouse
34964,Gnas,Adcy7,-,Mouse
34965,Mmp9,Itgam,-,Mouse
34966,Mmp9,Reck,-,Mouse
34967,Sptan1,Ptpra,-,Mouse
